Action_0,Action_1,Action_2,Old0,Old1,Old2,Old3,Old4,Old5,Old6,Old7,Old8,Old9,Old10,Observation_0,Observation_1,Observation_2,Observation_3,Observation_4,Observation_5,Observation_6,Observation_7,Observation_8,Observation_9,Observation_10,Done,Reward
0.12859277,1.0,1.0,1.2401015,-0.046455096,-0.1933309,0.0034104905,0.4646781,1.7122899,1.1359499,0.5424634,-1.187798,-0.074245095,6.862516,1.247442,-0.040549632,-0.20292626,0.0044628116,0.5219285,1.4287243,0.74392176,0.8472437,-1.1458406,0.19405347,7.309587,False,2.5177388
0.028482372,1.0,1.0,1.247442,-0.040549632,-0.20292626,0.0044628116,0.5219285,1.4287243,0.74392176,0.8472437,-1.1458406,0.19405347,7.309587,1.2514272,-0.033559114,-0.21152265,0.005606912,0.58241135,1.489456,0.40875083,0.87909746,-1.0030068,0.06597579,7.711198,False,2.440885
0.11556422,1.0,1.0,1.2514272,-0.033559114,-0.21152265,0.005606912,0.58241135,1.489456,0.40875083,0.87909746,-1.0030068,0.06597579,7.711198,1.2548277,-0.02590983,-0.21790926,0.0051239934,0.64583486,1.5435249,0.46029264,0.9979344,-0.72546595,-0.08027208,8.041793,False,2.5339806
0.07798708,1.0,1.0,1.2548277,-0.02590983,-0.21790926,0.0051239934,0.64583486,1.5435249,0.46029264,0.9979344,-0.72546595,-0.08027208,8.041793,1.2586709,-0.017653089,-0.2239029,0.0051110294,0.71153635,1.4381158,0.4676984,1.0543945,-0.75703996,0.037837744,8.310576,False,2.4781616
-0.080817044,1.0,1.0,1.2586709,-0.017653089,-0.2239029,0.0051110294,0.71153635,1.4381158,0.4676984,1.0543945,-0.75703996,0.037837744,8.310576,1.2616149,-0.010109068,-0.23160227,0.0059921835,0.7794506,1.364185,0.2973059,0.8839241,-1.032159,0.095089674,8.600852,False,2.3794158
-0.055619314,1.0,1.0,1.2616149,-0.010109068,-0.23160227,0.0059921835,0.7794506,1.364185,0.2973059,0.8839241,-1.032159,0.095089674,8.600852,1.2632757,-0.003481045,-0.23688583,0.018468121,0.81431293,1.1578611,0.1903403,0.8049007,-0.07359137,2.129975,1.1746603,False,2.2893798
-0.596695,0.4013133,1.0,1.2632757,-0.003481045,-0.23688583,0.018468121,0.81431293,1.1578611,0.1903403,0.8049007,-0.07359137,2.129975,1.1746603,1.2663875,-0.0012355783,-0.22921295,0.019422168,0.80605084,-0.39148316,0.54438394,-0.031607784,1.4042885,-1.1808288,-1.6888334,False,1.23307
-0.13970843,0.70815593,0.49767515,1.2663875,-0.0012355783,-0.22921295,0.019422168,0.80605084,-0.39148316,0.54438394,-0.031607784,1.4042885,-1.1808288,-1.6888334,1.2715822,-0.0030212633,-0.21661347,0.004974728,0.7880113,-0.8241311,0.6420327,-0.3821889,1.3160306,-1.8497343,-2.094521,False,0.18969783
-0.42301023,0.4873499,-0.026047733,1.2715822,-0.0030212633,-0.21661347,0.004974728,0.7880113,-0.8241311,0.6420327,-0.3821889,1.3160306,-1.8497343,-2.094521,1.2751393,-0.010237487,-0.21626423,0.0001977235,0.76868135,-0.06600992,0.30399498,-1.1653956,-0.64225364,0.16607922,-2.639588,False,0.62735564
-0.8937887,0.37213796,-0.2263726,1.2751393,-0.010237487,-0.21626423,0.0001977235,0.76868135,-0.06600992,0.30399498,-1.1653956,-0.64225364,0.16607922,-2.639588,1.2761706,-0.024949593,-0.23096779,0.005504436,0.7480094,0.17171387,0.061157346,-2.1617036,-2.3022225,0.56256706,-2.3223226,False,1.1541884
